,year,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip,country
51,2014,998,3,1,320,2791,1,0,0,3,319,0,79,58,33,98075,0
52,2014,1378,3,2,294,589,1,0,0,4,177,88,29,0,35,98115,0
53,2014,314,3,1,165,2648,1,0,0,3,168,0,68,41,7,98014,0
54,2014,825,5,2,223,1839,1,0,0,3,118,80,76,0,5,98011,0
55,2014,725,4,1,179,1918,1,0,0,4,60,90,54,23,3,98006,0
56,2014,878,4,1,220,3017,1,0,2,3,219,0,68,41,1,98092,0
57,2014,1353,5,3,407,2191,2,0,2,3,402,0,106,0,38,98065,0
58,2014,608,3,3,91,127,2,0,0,3,56,29,108,0,35,98199,0
59,2014,349,2,2,140,138,2,0,0,3,89,36,109,0,35,98106,0
60,2014,1009,4,2,367,1025,2,0,0,3,365,0,112,1,38,98065,0
61,2014,800,3,2,289,820,2,0,0,3,288,0,113,3,27,98045,0
62,2014,1125,4,3,296,2937,1,0,0,3,132,126,107,0,32,98059,0
63,2014,366,3,2,272,716,2,0,0,3,271,0,106,0,18,98042,0
64,2014,1125,4,2,321,1045,2,0,0,3,320,0,112,1,32,98059,0
65,2014,1002,2,1,37,702,1,0,0,3,40,0,44,0,35,98117,0
66,2014,593,3,2,142,2369,1,0,0,4,69,57,86,0,16,98027,0
67,2014,394,3,1,50,1904,1,0,0,4,53,0,73,0,38,98065,0
68,2014,1344,2,2,289,1242,1,0,0,3,288,0,104,47,31,98053,0
69,2014,553,3,2,222,1235,1,0,0,5,134,68,88,0,32,98058,0
70,2014,458,4,2,270,1901,2,0,2,3,194,57,90,53,1,98092,0
71,2014,1351,3,2,313,1160,2,0,0,3,190,91,80,0,35,98122,0
72,2014,1128,4,2,233,906,1,0,0,3,70,123,0,49,35,98122,0
73,2014,1019,3,2,177,1631,2,0,0,3,179,0,87,44,33,98074,0
74,2014,1460,3,1,92,2983,1,0,0,3,95,0,28,8,19,98033,0
75,2014,955,2,3,84,76,2,0,0,3,67,15,100,0,35,98103,0
76,2014,1403,4,3,218,487,2,0,0,4,142,61,82,55,35,98112,0
77,2014,1348,4,2,296,1972,2,0,2,3,296,0,96,0,33,98074,0
78,2014,1320,4,2,211,1956,1,0,0,4,143,54,60,45,3,98005,0
79,2014,1249,3,2,264,565,2,0,0,3,263,0,103,0,16,98029,0
80,2014,1127,4,2,189,1338,1,0,0,3,79,83,73,57,16,98027,0
81,2014,1435,4,3,410,1891,2,0,0,3,405,0,98,50,33,98075,0
82,2014,1052,2,1,272,1128,1,0,0,5,94,131,42,0,35,98118,0
83,2014,679,3,2,165,2817,1,0,0,4,101,47,78,44,16,98027,0
84,2014,859,4,3,242,1142,1,0,0,4,96,109,79,0,19,98034,0
85,2014,650,2,1,210,1791,1,0,0,2,209,0,48,0,36,98155,0
86,2014,996,2,1,66,785,1,0,0,5,70,0,8,0,35,98112,0
87,2014,1121,3,1,118,267,2,0,0,3,121,0,105,0,19,98033,0
88,2014,660,2,3,107,97,2,0,0,3,70,28,106,0,35,98136,0
89,2014,162,2,1,74,1443,1,0,0,4,78,0,58,19,10,98198,0
90,2014,1373,5,2,352,2352,2,0,0,4,351,0,90,0,19,98033,0
91,2014,1162,3,1,216,1681,1,0,2,4,108,81,49,29,35,98177,0
92,2014,1395,6,1,321,702,2,0,0,4,301,12,8,0,35,98122,0
93,2014,1339,3,2,244,851,1,0,0,4,169,59,39,33,35,98112,0
94,2014,941,3,1,129,815,1,0,0,4,26,83,44,0,35,98199,0
95,2014,980,5,2,298,1556,1,0,0,4,103,146,60,45,3,98006,0
96,2014,1199,3,2,147,249,3,0,0,3,151,0,9,42,35,98105,0
97,2014,606,5,2,342,2269,1,0,0,3,161,143,68,41,14,98023,0
98,2014,666,3,2,107,129,3,0,0,3,111,0,105,0,35,98103,0
99,2014,866,5,3,444,1579,2,0,1,5,313,125,71,0,35,98105,0
100,2014,1286,4,2,352,2629,2,0,3,3,351,0,100,0,32,98059,0
101,2014,1038,3,2,193,902,1,0,0,3,95,73,75,0,31,98052,0
102,2014,1355,3,1,92,1276,1,0,0,3,95,0,61,48,3,98004,0
103,2014,442,4,2,246,1025,2,0,0,3,245,0,98,50,1,98092,0
104,2014,734,5,2,171,1736,1,0,0,4,130,31,42,11,35,98133,0
105,2014,896,4,2,320,1022,2,0,0,3,319,0,106,0,38,98065,0
106,2014,903,4,1,204,1281,1,0,0,3,74,100,63,52,3,98008,0
107,2014,1551,4,2,472,3028,2,0,0,3,462,0,92,0,31,98053,0
108,2014,650,2,1,31,813,1,0,0,3,34,0,55,49,35,98136,0
109,2014,139,4,1,80,1812,1,0,0,3,84,0,71,0,14,98023,0
110,2014,1174,4,1,101,548,1,0,0,3,57,35,24,55,35,98103,0
111,2014,393,4,2,238,702,2,0,0,3,237,0,106,0,21,98038,0
112,2014,366,3,2,54,1931,1,0,0,3,57,0,86,0,11,98019,0
113,2014,944,5,1,273,2975,1,0,0,5,169,79,60,0,16,98027,0
114,2014,1295,4,1,193,419,1,0,0,3,194,0,2,0,35,98119,0
115,2014,482,5,1,64,1687,1,0,0,4,68,0,62,0,19,98034,0
116,2014,643,3,2,225,487,2,0,0,3,224,0,54,49,35,98144,0
117,2014,114,2,1,28,1167,1,0,0,5,31,0,44,0,6,98168,0
118,2014,1527,5,2,353,2503,1,0,3,3,153,156,76,0,3,98006,0
119,2014,1090,3,1,146,2852,1,0,0,4,150,0,76,36,33,98075,0
120,2014,595,4,1,185,1766,1,0,0,5,70,88,60,0,36,98133,0
121,2014,320,3,1,114,902,1,0,0,4,117,0,53,27,35,98118,0
122,2014,866,7,7,560,3079,3,0,4,3,509,205,99,0,31,98053,0
123,2014,393,3,2,175,1369,2,0,0,3,177,0,94,0,32,98055,0
124,2014,1090,3,1,175,996,1,0,0,4,56,89,45,0,35,98115,0
125,2014,700,3,2,107,913,1,0,0,4,111,0,30,0,35,98103,0
126,2014,770,4,2,118,458,1,0,0,5,121,0,28,17,35,98133,0
127,2014,453,2,1,66,758,1,0,0,4,70,0,49,29,35,98133,0
128,2014,199,3,1,179,1747,1,0,0,3,52,101,84,0,1,98001,0
129,2014,996,4,2,320,990,2,0,0,3,319,0,108,0,32,98059,0
130,2014,1372,3,2,359,1372,2,0,0,3,358,0,94,0,33,98075,0
131,2014,214,3,2,128,2424,1,0,0,4,131,0,58,19,32,98059,0
132,2014,118,5,2,200,1955,1,0,0,3,114,67,56,45,10,98198,0
133,2014,866,2,2,224,487,2,0,0,3,223,0,100,0,35,98112,0
134,2014,1062,2,1,161,1611,1,0,0,3,127,25,49,42,35,98117,0
135,2014,1111,4,1,236,2158,1,0,0,4,186,35,77,0,31,98052,0
136,2014,1115,3,2,165,702,1,0,0,4,61,77,42,26,35,98115,0
137,2014,867,4,1,193,1729,1,0,0,3,120,59,77,48,19,98034,0
138,2014,912,3,2,164,311,2,0,0,3,167,0,110,0,16,98027,0
139,2014,1133,4,2,257,1055,2,0,0,3,256,0,114,0,35,98117,0
140,2014,1009,3,2,181,368,2,0,0,3,183,0,109,0,16,98027,0
141,2014,482,2,1,69,160,2,0,0,3,74,0,101,0,35,98144,0
142,2014,1402,4,2,378,1847,2,0,0,3,376,0,107,0,31,98052,0
143,2014,1454,4,4,480,856,2,0,0,3,377,110,106,0,16,98027,0
144,2014,557,3,3,131,252,3,0,0,3,135,0,108,0,35,98125,0
145,2014,690,3,2,139,39,2,0,0,3,130,6,110,0,16,98029,0
146,2014,693,3,2,106,38,3,0,0,3,110,0,105,0,35,98115,0
147,2014,841,3,2,336,595,2,0,0,3,336,0,107,0,32,98056,0
148,2014,1454,5,3,486,902,2,0,0,3,353,138,106,0,16,98027,0
149,2014,704,2,2,134,154,2,0,0,3,138,0,114,0,16,98029,0
150,2014,1256,4,2,258,549,2,0,0,3,257,0,113,3,31,98052,0
151,2014,639,4,2,111,1327,1,0,0,3,78,24,71,0,19,98034,0
152,2014,774,2,2,62,337,1,0,0,3,65,0,12,49,35,98117,0
153,2014,520,3,1,95,1346,1,0,0,4,36,53,47,32,35,98125,0
154,2014,1104,4,2,215,2835,2,0,0,3,214,0,85,0,31,98052,0
155,2014,169,3,1,120,1541,1,0,0,4,53,52,75,0,9,98042,0
156,2014,1021,3,2,191,1128,2,0,0,3,192,0,16,30,35,98136,0
157,2014,822,2,1,52,578,1,0,0,3,55,0,24,55,35,98117,0
158,2014,449,2,1,19,1063,1,0,0,3,20,0,42,43,35,98117,0
159,2014,868,5,2,195,702,1,0,0,4,196,0,38,0,35,98117,0
160,2014,302,3,1,132,1476,1,0,1,4,65,52,62,0,10,98198,0
161,2014,1100,4,2,210,2355,2,0,0,3,209,0,87,44,16,98027,0
162,2014,397,4,2,89,1143,1,0,0,3,92,0,50,57,35,98146,0
163,2014,1162,3,1,140,1266,1,0,1,3,74,50,40,40,35,98115,0
164,2014,1563,4,2,375,1458,1,0,3,3,187,148,70,58,35,98136,0
165,2014,432,4,2,176,942,1,0,0,3,49,100,80,0,35,98106,0
166,2014,713,4,2,125,1413,1,0,0,5,127,0,67,0,15,98034,0
167,2014,135,2,1,37,741,1,0,0,3,40,0,52,52,35,98106,0
168,2014,215,3,1,54,1102,1,0,0,3,57,0,54,49,36,98133,0
169,2014,623,3,1,83,1025,1,0,0,4,87,0,66,0,3,98008,0
170,2014,836,6,3,385,3015,1,0,0,3,383,0,24,55,17,98028,0
171,2014,1285,4,2,235,2196,2,0,0,4,234,0,88,0,3,98006,0
172,2014,668,4,2,309,2653,1,0,1,3,155,119,58,48,10,98198,0
173,2014,286,3,2,142,2353,2,0,0,3,146,0,98,50,7,98014,0
174,2014,543,3,2,141,2388,1,0,0,4,70,54,63,0,6,98148,0
175,2014,964,3,2,172,1940,2,0,0,3,174,0,91,0,19,98034,0
176,2014,314,4,2,191,784,2,0,0,3,192,0,103,0,18,98042,0
177,2014,560,3,1,107,1836,1,0,0,3,111,0,61,48,36,98177,0
178,2014,594,4,1,123,2153,1,0,0,4,52,54,55,53,17,98028,0
179,2014,934,3,2,260,2941,2,0,0,4,259,0,80,0,32,98059,0
180,2014,68,3,1,50,1139,1,0,0,3,53,0,54,49,32,98057,0
181,2014,801,2,2,78,23,2,0,0,3,54,21,104,47,35,98112,0
182,2014,496,4,2,241,453,2,0,0,3,240,0,107,0,32,98058,0
183,2014,786,5,2,227,1353,1,0,0,3,96,98,78,0,19,98034,0
184,2014,1106,4,3,258,1942,1,0,0,5,136,93,67,0,3,98006,0
185,2014,1026,4,3,343,2444,2,0,0,3,249,75,96,0,17,98028,0
186,2014,1109,4,2,202,702,1,0,0,3,55,112,49,57,35,98117,0
187,2014,134,3,1,172,1329,1,0,0,3,94,58,79,58,14,98023,0
188,2014,658,4,1,171,2043,1,0,0,3,47,95,58,48,3,98008,0
189,2014,1430,4,2,415,2754,2,0,0,3,410,0,100,0,31,98053,0
190,2014,26,3,1,109,1598,1,0,0,3,113,0,62,47,14,98023,0
191,2014,402,3,1,124,927,1,0,0,4,36,70,40,45,35,98115,0
192,2014,1045,3,1,212,1025,1,0,2,3,75,105,54,49,35,98199,0
193,2014,866,4,2,388,1111,2,0,0,4,232,130,28,0,35,98199,0
194,2014,304,3,1,140,2168,1,0,0,4,144,0,71,0,27,98045,0
195,2014,922,3,2,164,1168,2,0,0,3,167,0,89,0,33,98074,0
196,2014,920,4,2,191,847,2,0,0,3,192,0,96,0,17,98028,0
197,2014,1086,4,2,231,2731,2,0,0,4,108,91,77,0,3,98006,0
198,2014,1221,4,2,335,1375,2,0,0,3,335,0,99,0,33,98074,0
199,2014,553,3,1,90,1480,1,0,0,3,93,0,50,49,35,98133,0
200,2014,1330,4,2,431,2396,2,0,0,3,426,0,87,44,33,98074,0
201,2014,866,4,3,418,2074,1,0,0,5,249,145,50,0,35,98105,0
202,2014,1023,5,2,336,1461,2,0,0,3,336,0,84,0,31,98052,0
203,2014,953,5,2,320,1831,1,0,0,4,153,131,64,0,3,98008,0
204,2014,943,3,2,327,2189,1,0,0,3,165,129,95,0,33,98074,0
205,2014,856,2,1,145,902,1,0,0,3,74,54,42,43,35,98105,0
206,2014,1271,4,2,354,2234,2,0,0,3,353,0,98,50,25,98059,0
207,2014,539,4,2,289,2560,1,0,0,5,288,0,65,0,1,98001,0
208,2014,614,3,1,78,1804,1,0,0,5,82,0,62,0,25,98056,0
209,2014,854,4,2,298,2900,2,0,0,3,297,0,95,0,42,98077,0
210,2014,1171,4,3,376,1527,2,0,0,3,374,0,100,0,36,98177,0
211,2014,496,3,1,63,967,1,0,0,3,67,0,56,45,35,98115,0
212,2014,959,5,2,165,444,1,0,0,3,108,41,26,47,35,98103,0
213,2014,608,3,1,177,815,1,0,0,3,89,67,82,0,35,98118,0
214,2014,1207,2,1,40,2814,1,0,2,3,43,0,51,38,3,98006,0
215,2014,95,3,1,149,1343,1,0,0,4,58,68,76,36,1,98001,0
216,2014,859,3,2,109,512,1,0,0,3,113,0,5,57,35,98103,0
217,2014,866,5,4,488,2432,2,0,0,3,476,0,69,46,23,98040,0
218,2014,349,3,2,186,1419,1,0,0,4,132,44,74,0,14,98023,0
219,2014,896,2,1,70,284,1,0,0,4,22,45,3,0,35,98103,0
220,2014,1538,3,2,222,246,2,0,0,3,142,64,108,0,35,98102,0
221,2014,87,3,1,27,1649,1,0,0,4,29,0,59,0,14,98023,0
222,2014,901,3,2,118,73,3,0,0,3,121,0,106,0,35,98112,0
223,2014,623,5,3,318,702,1,0,0,3,93,162,106,0,35,98144,0
224,2014,1506,3,2,291,505,3,0,0,3,290,0,114,0,35,98117,0
225,2014,1052,4,3,396,1526,2,0,0,3,393,0,113,3,32,98055,0
226,2014,566,3,2,84,124,3,0,0,3,88,0,106,0,35,98103,0
227,2014,866,5,5,486,1970,2,0,0,3,431,61,113,3,3,98004,0
228,2014,1346,4,2,336,1012,2,0,0,3,336,0,108,0,31,98052,0
229,2014,932,3,2,70,102,3,0,0,3,75,0,114,0,35,98107,0
230,2014,237,5,2,202,1610,1,0,0,3,55,112,62,47,6,98146,0
231,2014,887,3,1,47,902,1,0,0,3,50,0,43,46,35,98105,0
232,2014,913,4,2,254,750,2,0,0,3,253,0,103,0,36,98155,0
233,2014,1568,4,4,483,3003,2,0,0,3,472,0,101,0,31,98053,0
234,2014,230,3,1,81,1944,1,0,0,3,85,0,94,0,4,98010,0
235,2014,905,3,2,127,1079,1,0,0,5,79,34,80,0,19,98034,0
236,2014,293,3,2,135,1128,2,0,0,4,140,0,93,0,21,98038,0
237,2014,211,3,1,63,1554,1,0,0,3,67,0,52,52,6,98166,0
238,2014,394,3,1,171,2044,1,0,0,4,81,67,74,0,32,98058,0
239,2014,1312,3,2,269,786,1,0,0,4,101,125,46,33,35,98119,0
240,2014,1131,3,2,289,3080,2,0,0,3,288,0,95,0,30,98051,0
241,2014,1089,9,4,425,1125,2,0,0,3,257,147,38,47,35,98103,0
242,2014,1323,4,2,251,1799,1,0,0,4,166,68,56,0,19,98033,0
243,2014,210,4,1,153,1923,1,0,0,5,157,0,60,0,9,98042,0
244,2014,394,3,1,204,2834,1,0,0,4,113,70,73,0,18,98031,0
245,2014,801,3,2,158,1694,2,0,0,4,162,0,85,0,31,98052,0
246,2014,1207,3,1,147,2016,1,0,0,4,151,0,59,0,3,98005,0
247,2014,945,2,2,128,284,1,0,0,4,131,0,0,18,35,98103,0
248,2014,1019,3,3,453,2957,2,0,2,3,351,103,94,0,7,98014,0
249,2014,690,4,3,170,1798,2,0,0,3,172,0,91,0,5,98028,0
250,2014,202,3,1,104,1249,1,0,0,3,108,0,44,0,6,98166,0
251,2014,404,3,1,174,2236,1,0,0,4,176,0,57,45,14,98003,0
252,2014,866,7,4,545,1652,2,0,2,5,485,152,10,0,35,98109,0
253,2014,705,2,1,53,402,1,0,0,4,56,0,4,0,35,98144,0
254,2014,964,3,1,295,3029,1,0,0,3,294,0,88,44,7,98014,0
255,2014,513,3,1,50,1757,1,0,0,3,53,0,81,57,19,98033,0
256,2014,922,3,1,132,1712,1,0,1,4,79,38,67,0,3,98008,0
257,2014,1310,4,2,278,922,2,0,0,5,186,69,49,0,35,98116,0
258,2014,160,3,2,179,1720,2,0,0,3,181,0,88,44,32,98057,0
259,2014,1033,3,2,244,721,1,0,0,3,166,62,29,0,35,98118,0
260,2014,215,1,1,62,572,1,0,0,2,32,29,47,0,6,98166,0
261,2014,1056,4,2,268,2341,1,0,0,4,89,132,61,45,19,98033,0
262,2014,1164,3,2,359,3006,2,0,0,4,358,0,91,0,18,98042,0
263,2014,1090,3,2,260,3008,1,0,0,4,175,65,77,0,16,98027,0
264,2014,901,2,1,50,466,1,0,0,4,53,0,6,34,35,98112,0
265,2014,836,2,1,29,313,1,0,0,3,32,0,21,44,35,98103,0
266,2014,516,5,2,253,1594,1,0,2,3,143,85,78,0,35,98118,0
267,2014,705,3,2,161,1482,2,0,0,3,165,0,77,48,19,98034,0
268,2014,721,2,2,95,470,1,0,0,3,99,0,103,0,31,98053,0
269,2014,1086,3,1,184,659,1,0,0,4,63,93,20,0,35,98115,0
270,2014,880,4,2,366,2471,1,0,0,5,228,115,22,10,36,98133,0
271,2014,1131,2,2,273,841,1,0,0,3,157,88,111,0,32,98056,0
272,2014,1460,5,3,454,3060,2,0,0,3,350,105,85,0,42,98077,0
273,2014,1555,4,1,238,2312,1,0,0,3,178,44,50,49,8,98004,0
274,2014,1045,4,2,142,702,1,0,0,3,146,0,55,49,35,98117,0
275,2014,1248,4,2,283,559,1,0,0,3,127,122,5,57,35,98116,0
276,2014,1479,4,2,176,893,1,0,1,3,120,44,63,52,35,98112,0
277,2014,401,3,1,220,1419,1,0,0,4,219,0,67,0,14,98023,0
278,2014,1113,3,2,197,1025,2,0,0,3,198,0,88,44,16,98027,0
279,2014,1146,3,3,232,743,2,0,0,3,211,12,102,0,32,98056,0
280,2014,859,3,2,138,529,1,0,0,4,53,65,17,0,35,98136,0
281,2014,366,2,1,23,338,1,0,0,3,24,0,13,27,35,98144,0
282,2014,591,2,1,141,2520,1,0,0,3,34,85,78,0,31,98053,0
283,2014,480,3,2,140,2226,2,0,0,4,144,0,85,0,32,98058,0
284,2014,866,6,2,395,1023,2,0,0,4,392,0,14,5,35,98112,0
285,2014,866,3,3,325,810,2,0,2,3,256,57,37,34,35,98199,0
286,2014,901,3,2,181,2828,1,0,0,4,183,0,87,0,16,98027,0
287,2014,186,3,2,107,1295,1,0,0,3,111,0,85,0,18,98030,0
288,2014,406,3,1,53,2508,1,0,0,4,56,0,68,0,32,98059,0
289,2014,542,2,1,29,1005,1,0,0,4,32,0,44,0,35,98126,0
290,2014,7,2,1,38,2631,1,0,0,3,41,0,56,45,0,98001,0
291,2014,977,7,5,411,1318,2,0,1,3,406,0,48,28,20,98155,0
292,2014,846,4,2,219,2106,1,0,0,4,218,0,68,0,42,98072,0
293,2014,304,3,2,135,553,2,0,0,3,140,0,100,0,1,98001,0
294,2014,750,3,1,123,950,1,0,0,4,58,47,47,32,35,98118,0
295,2014,953,3,1,93,556,1,0,0,3,61,26,10,50,35,98105,0
296,2014,1019,3,2,173,2316,1,0,0,3,175,0,85,0,16,98027,0
297,2014,1344,3,2,272,1174,1,0,3,4,140,103,5,0,35,98144,0
298,2014,47,2,1,53,2299,1,0,0,5,56,0,12,0,18,98032,0
299,2014,117,3,1,99,2096,1,0,0,3,104,0,60,56,14,98003,0
300,2014,150,3,1,141,2052,1,0,0,3,69,55,88,44,9,98042,0
301,2014,596,5,1,330,902,1,0,0,5,125,156,58,0,35,98178,0
302,2014,676,4,2,214,2288,1,0,0,3,94,87,68,41,17,98028,0
303,2014,1229,3,2,158,1014,1,0,0,4,49,83,42,26,35,98199,0
304,2014,660,3,2,145,1522,1,0,0,4,149,0,61,45,36,98133,0
305,2014,581,3,2,170,2289,2,0,0,3,172,0,90,53,21,98038,0
306,2014,1365,4,2,223,1593,1,0,1,4,79,109,54,23,35,98199,0
307,2014,77,4,1,120,1043,1,0,0,3,123,0,69,54,6,98168,0
308,2014,199,3,1,83,109,2,0,0,3,56,22,105,0,35,98133,0
309,2014,866,5,4,468,1447,2,0,0,3,376,93,107,0,19,98033,0
310,2014,1535,4,3,433,1545,2,0,0,3,428,0,106,0,19,98033,0
311,2014,713,2,2,67,45,3,0,0,3,72,0,108,0,35,98103,0
312,2014,887,4,2,284,2617,2,0,0,3,283,0,114,0,1,98001,0
313,2014,553,5,2,251,705,1,0,0,3,111,109,108,0,35,98118,0
314,2014,696,3,2,137,163,3,0,0,3,141,0,109,0,35,98125,0
315,2014,480,2,1,29,1,3,0,0,3,32,0,106,0,35,98103,0
316,2014,1111,2,1,127,1101,1,0,0,4,32,77,46,33,35,98119,0
317,2014,655,3,2,207,1537,2,0,0,3,206,0,112,1,11,98019,0
318,2014,1507,5,2,349,2140,1,0,0,4,166,147,71,0,23,98040,0
319,2014,247,4,1,155,1525,1,0,0,3,82,54,77,48,14,98023,0
320,2014,959,3,1,146,512,1,0,0,3,75,54,67,55,35,98115,0
321,2014,971,4,2,273,619,2,0,0,3,272,0,105,0,33,98075,0
322,2014,1402,5,3,336,1813,1,0,0,5,187,116,68,0,23,98040,0
323,2014,1255,3,1,81,614,1,0,0,4,72,8,0,18,35,98103,0
324,2014,256,4,2,195,965,2,0,0,3,196,0,102,0,0,98001,0
325,2014,1317,4,2,286,810,2,0,2,3,285,0,103,0,16,98029,0
326,2014,23,2,1,45,702,2,0,0,3,49,0,22,47,37,98288,0
327,2014,652,3,2,184,1419,1,0,0,4,90,72,77,0,19,98034,0
328,2014,112,2,1,19,714,1,0,0,3,20,0,55,49,35,98106,0
329,2014,1003,2,2,97,134,2,0,0,3,57,32,97,0,35,98112,0
330,2014,1018,2,2,174,694,1,0,0,3,176,0,106,0,31,98053,0
331,2014,253,4,1,212,1642,1,0,0,3,65,112,62,47,18,98032,0
332,2014,284,4,2,166,1026,2,0,0,3,169,0,94,0,18,98042,0
333,2014,349,2,1,222,2994,1,0,0,3,65,119,73,57,16,98027,0
334,2014,1264,3,2,149,589,1,0,1,4,153,0,28,0,35,98116,0
335,2014,268,3,2,181,1590,1,0,0,3,118,52,89,0,18,98030,0
336,2014,434,4,2,239,973,2,0,0,3,238,0,104,47,18,98042,0
337,2014,1156,4,1,202,2679,1,0,0,4,74,98,47,32,26,98166,0
338,2014,1534,4,1,379,702,2,0,0,5,219,131,10,0,35,98144,0
339,2014,1036,4,2,229,2871,2,0,0,3,229,0,80,0,31,98053,0
340,2014,202,3,1,101,1245,1,0,0,4,105,0,75,0,18,98031,0
341,2014,922,2,1,55,696,1,0,0,3,58,0,26,47,35,98103,0
342,2014,116,3,1,120,1680,1,0,0,4,123,0,54,23,35,98168,0
343,2014,1348,4,1,262,1724,1,0,0,3,105,118,50,49,3,98004,0
344,2014,873,5,2,257,2613,1,0,0,4,256,0,75,0,18,98042,0
345,2014,468,3,1,227,2992,1,0,0,2,121,81,80,0,1,98092,0
346,2014,349,3,2,179,1191,2,0,0,3,181,0,93,0,14,98003,0
347,2014,608,3,1,176,1899,1,0,0,3,82,71,44,0,35,98125,0
348,2014,513,4,1,229,2333,1,0,0,4,214,8,40,45,18,98030,0
349,2014,173,2,1,84,339,1,0,0,4,13,67,23,0,35,98118,0
350,2014,533,2,1,43,226,2,0,0,3,47,0,93,0,35,98122,0
351,2014,1260,4,2,364,1020,2,0,0,3,363,0,102,0,33,98075,0
352,2014,152,4,1,191,935,1,0,0,3,65,98,65,37,35,98178,0
353,2014,660,2,1,51,1478,1,0,0,4,54,0,48,0,35,98177,0
354,2014,972,4,1,171,1812,1,0,0,3,81,67,67,55,31,98052,0
